SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,SCH_TYPE,STATE_SCH_ID,NCESID,CATEGORY,CONTENT_LEVEL,OVERALL_SCORE,KY_RANK,CLASSIFICATION,REWARD_RECOGNITION,BASE_YR_SCORE,AMO_GOAL,AMO_MET,TREND_DISPLAY,PARTICIPATION_NEXT_YR,GRADUATION_RATE_GOAL,KY_RANK_PY,CLASSIFICATION_PY,REWARD_RECOGNITION_PY,COOP,COOP_CODE
20142015,5,BARREN,21,Barren County,130,Park City Elementary School,21130,A1,5021130,210030000051,Accountability,Elementary School,68.4,75,Proficient/Progressing,,62.3,63.3,Yes,YES,Yes,N/A,49,,,GRREC,902
20142015,5,BARREN,21,Barren County,150,Red Cross Elementary School,21150,A1,5021150,210030000052,Accountability,Elementary School,68.8,77,Proficient/Progressing,,64.8,65.8,Yes,YES,Yes,N/A,59,,,GRREC,902
20142015,5,BARREN,21,Barren County,180,Temple Hill Elementary School,21180,A1,5021180,210030000053,Accountability,Elementary School,74.5,92,Distinguished/Progressing,High Performing School,71.7,72.2,Yes,YES,Yes,N/A,86,,,GRREC,902
20142015,5,BARREN,21,Barren County,,---District Total---,21,,,,Accountability,District Overall,69.6,89,Proficient,,67.8,68.3,Yes,YES,Yes,No,80,,,GRREC,902
20142015,6,BATH,25,Bath County,40,Bath County High School,25040,A1,6025040,210033000057,Accountability,High School,67.9,57,Needs Improvement/Progressing,,66.9,67.9,Yes,YES,Yes,Yes,50,,,KEDC,903
20142015,6,BATH,25,Bath County,20,Bath County Middle School,25020,A1,6025020,210033001606,Accountability,Middle School,62.7,57,Needs Improvement/Progressing,,58.4,59.4,Yes,YES,Yes,N/A,38,,,KEDC,903
20142015,6,BATH,25,Bath County,14,Crossroads Elementary School,25014,A1,6025014,210033002223,Accountability,Elementary School,63.0,52,Needs Improvement/Progressing,,61.3,62.3,Yes,YES,Yes,N/A,44,,,KEDC,903
20142015,6,BATH,25,Bath County,30,Owingsville Elementary School,25030,A1,6025030,210033000056,Accountability,Elementary School,60.2,39,Needs Improvement,,60.8,61.8,No,YES,Yes,N/A,42,,,KEDC,903
20142015,6,BATH,25,Bath County,,---District Total---,25,,,,Accountability,District Overall,64.0,56,Needs Improvement/Progressing,High Progress District,62.2,63.2,Yes,YES,Yes,Yes,41,,,KEDC,903
20142015,59,KENTON,26,Beechwood Independent,10,Beechwood Elementary School,26010,A1,59026010,210036000059,Accountability,Elementary School,80.2,99,Distinguished,,82.6,83.1,No,YES,Yes,N/A,99,,,NKCES,905
20142015,59,KENTON,26,Beechwood Independent,20,Beechwood High School,26020,A1,59026020,210036000060,Accountability,Middle School,69.6,88,Proficient,,69.7,70.2,No,YES,Yes,N/A,88,,,NKCES,905
20142015,59,KENTON,26,Beechwood Independent,20,Beechwood High School,26020,A1,59026020,210036000060,Accountability,High School,89.0,99,Distinguished,,85.9,86.4,Yes,YES,Yes,No,99,,,NKCES,905
20142015,59,KENTON,26,Beechwood Independent,,---District Total---,26,,,,Accountability,District Overall,80.4,99,Distinguished,,80.2,80.7,No,YES,Yes,No,99,,,NKCES,905
20142015,7,BELL,31,Bell County,12,Bell Central School Center,31012,A1,7031012,210039001881,Accountability,Elementary School,73.2,90,Distinguished,,75.4,75.9,No,YES,Yes,N/A,94,,,SESC,907
20142015,7,BELL,31,Bell County,12,Bell Central School Center,31012,A1,7031012,210039001881,Accountability,Middle School,75.3,97,Distinguished/Progressing,School of Distinction/High Progress School,67.9,68.4,Yes,YES,Yes,N/A,80,,,SESC,907
20142015,7,BELL,31,Bell County,40,Bell County High School,31040,A1,7031040,210039000062,Accountability,High School,69.7,66,Needs Improvement/Progressing,,68.7,69.7,Yes,YES,Yes,Yes,59,,,SESC,907
20142015,7,BELL,31,Bell County,180,Frakes School Center,31180,A1,7031180,210039000067,Accountability,Elementary School,51.4,12,Needs Improvement/Progressing,Focus School,50.3,51.3,Yes,YES,Yes,N/A,9,,,SESC,907
20142015,7,BELL,31,Bell County,180,Frakes School Center,31180,A1,7031180,210039000067,Accountability,Middle School,56.7,30,Needs Improvement,,60.4,61.4,No,YES,Yes,N/A,46,,,SESC,907
20142015,7,BELL,31,Bell County,250,Lone Jack School Center,31250,A1,7031250,210039000068,Accountability,Middle School,60.4,46,Needs Improvement/Progressing,,56.6,57.6,Yes,YES,Yes,N/A,29,,,SESC,907
20142015,7,BELL,31,Bell County,250,Lone Jack School Center,31250,A1,7031250,210039000068,Accountability,Elementary School,61.1,43,Needs Improvement/Progressing,High Progress School,53.3,54.3,Yes,YES,Yes,N/A,17,,,SESC,907
20142015,7,BELL,31,Bell County,13,Page School Center,31013,A1,7031013,210039001882,Accountability,Elementary School,62.6,51,Needs Improvement/Progressing,,56.8,57.8,Yes,YES,Yes,N/A,26,,,SESC,907
20142015,7,BELL,31,Bell County,13,Page School Center,31013,A1,7031013,210039001882,Accountability,Middle School,66.4,73,Proficient/Progressing,,64.2,65.2,Yes,YES,Yes,N/A,63,,,SESC,907
20142015,7,BELL,31,Bell County,345,Right Fork School Center,31345,A1,7031345,210039000072,Accountability,Middle School,64.7,64,Needs Improvement/Progressing,,62.9,63.9,Yes,YES,Yes,N/A,57,,,SESC,907
20142015,7,BELL,31,Bell County,345,Right Fork School Center,31345,A1,7031345,210039000072,Accountability,Elementary School,54.0,19,Needs Improvement,,57.3,58.3,No,YES,Yes,N/A,28,,,SESC,907
20142015,7,BELL,31,Bell County,390,Yellow Creek School Center,31390,A1,7031390,210039000074,Accountability,Elementary School,65.1,60,Needs Improvement/Progressing,,62.3,63.3,Yes,YES,Yes,N/A,49,,,SESC,907
20142015,7,BELL,31,Bell County,390,Yellow Creek School Center,31390,A1,7031390,210039000074,Accountability,Middle School,57.2,34,Needs Improvement,,63.7,64.7,No,YES,Yes,N/A,60,,,SESC,907
20142015,7,BELL,31,Bell County,,---District Total---,31,,,,Accountability,District Overall,65.9,66,Needs Improvement/Progressing,,64.7,65.7,Yes,YES,Yes,Yes,59,,,SESC,907
20142015,19,CAMPBELL,32,Bellevue Independent,10,Bellevue High School,32010,A1,19032010,210042000075,Accountability,High School,65.4,43,Needs Improvement,,66.3,67.3,No,YES,No,No,47,,,NKCES,905
20142015,19,CAMPBELL,32,Bellevue Independent,10,Bellevue High School,32010,A1,19032010,210042000075,Accountability,Middle School,58.1,37,Needs Improvement/Progressing,,56.3,57.3,Yes,YES,Yes,N/A,29,,,NKCES,905
20142015,19,CAMPBELL,32,Bellevue Independent,20,Grandview Elementary School,32020,A1,19032020,210042000076,Accountability,Elementary School,64.8,59,Needs Improvement,,65.8,66.8,No,YES,Yes,N/A,63,,,NKCES,905
20142015,19,CAMPBELL,32,Bellevue Independent,,---District Total---,32,,,,Accountability,District Overall,63.4,51,Needs Improvement,,63.2,64.2,No,YES,No,No,49,,,NKCES,905
20142015,73,MADISON,34,Berea Independent,10,Berea Community Elementary School,34010,A1,73034010,210048000077,Accountability,Elementary School,56.5,26,Needs Improvement,Focus School,60.7,61.7,No,YES,Yes,N/A,41,,,SESC,907
20142015,73,MADISON,34,Berea Independent,20,Berea Community High School,34020,A1,73034020,210048000078,Accountability,High School,71.0,72,Proficient,Focus School,68.6,69.6,Yes,YES,Yes,No,59,,,SESC,907
20142015,73,MADISON,34,Berea Independent,15,Berea Community Middle School,34015,A1,73034015,210048001658,Accountability,Middle School,62.9,57,Needs Improvement,,65.1,66.1,No,YES,Yes,N/A,65,,,SESC,907
20142015,73,MADISON,34,Berea Independent,,---District Total---,34,,,,Accountability,District Overall,63.5,51,Needs Improvement,,64.8,65.8,No,YES,Yes,No,59,,,SESC,907
20142015,8,BOONE,35,Boone County,5,A M Yealey Elementary School,35005,A1,8035005,210051000079,Accountability,Elementary School,63.3,53,Needs Improvement,,65.7,66.7,No,YES,Yes,N/A,62,,,NKCES,905
20142015,8,BOONE,35,Boone County,30,Boone County High School,35030,A1,8035030,210051000081,Accountability,High School,78.7,96,Distinguished,,76.1,76.6,Yes,YES,Yes,No,93,,,NKCES,905
20142015,8,BOONE,35,Boone County,40,Burlington Elementary School,35040,A1,8035040,210051000082,Accountability,Elementary School,64.2,56,Needs Improvement,,65.3,66.3,No,YES,Yes,N/A,61,,,NKCES,905
20142015,8,BOONE,35,Boone County,10,Camp Ernst Middle School,35010,A1,8035010,210051001971,Accountability,Middle School,65.4,68,Needs Improvement,Focus School,68.2,68.7,No,YES,Yes,N/A,81,,,NKCES,905
20142015,8,BOONE,35,Boone County,41,Charles H. Kelly Elementary School,35041,A1,8035041,210051001519,Accountability,Elementary School,77.6,98,Distinguished,,79.0,79.5,No,YES,Yes,N/A,98,,,NKCES,905
20142015,8,BOONE,35,Boone County,55,Chester Goodridge Elementary School,35055,A1,8035055,210051000086,Accountability,Elementary School,65.0,60,Needs Improvement/Progressing,,62.3,63.3,Yes,YES,Yes,N/A,49,,,NKCES,905
20142015,8,BOONE,35,Boone County,45,Conner High School,35045,A1,8035045,210051000084,Accountability,High School,77.4,94,Distinguished,Focus School,75.7,76.2,Yes,YES,Yes,No,90,,,NKCES,905
20142015,8,BOONE,35,Boone County,43,Conner Middle School,35043,A1,8035043,210051000083,Accountability,Middle School,67.4,78,Proficient,,68.7,69.2,No,YES,Yes,N/A,84,,,NKCES,905
20142015,8,BOONE,35,Boone County,6,Erpenbeck Elementary School,35006,A1,8035006,210051001710,Accountability,Elementary School,74.3,92,Distinguished,,74.0,74.5,No,YES,Yes,N/A,91,,,NKCES,905
20142015,8,BOONE,35,Boone County,50,Florence Elementary School,35050,A1,8035050,210051000085,Accountability,Elementary School,63.7,55,Needs Improvement,,68.7,69.2,No,YES,Yes,N/A,76,,,NKCES,905
20142015,8,BOONE,35,Boone County,75,Gray Middle School,35075,A1,8035075,210051000638,Accountability,Middle School,74.0,96,Distinguished/Progressing,School of Distinction,73.1,73.6,Yes,YES,Yes,N/A,95,,,NKCES,905
20142015,8,BOONE,35,Boone County,65,Hillard Collins Elementary School,35065,A1,8035065,210051001608,Accountability,Elementary School,55.2,21,Needs Improvement,Focus School,57.3,58.3,No,YES,Yes,N/A,28,,,NKCES,905
20142015,8,BOONE,35,Boone County,71,Larry A. Ryle High School,35071,A1,8035071,210051000011,Accountability,High School,78.3,96,Distinguished,,82.4,82.9,No,YES,Yes,No,98,,,NKCES,905
20142015,8,BOONE,35,Boone County,17,Longbranch Elementary School,35017,A1,8035017,210051002245,Accountability,Elementary School,72.0,87,Proficient/Progressing,High Progress School,65.3,66.3,Yes,YES,Yes,N/A,61,,,NKCES,905
20142015,8,BOONE,35,Boone County,80,New Haven Elementary School,35080,A1,8035080,210051000088,Accountability,Elementary School,68.1,73,Proficient/Progressing,,65.6,66.6,Yes,YES,Yes,N/A,62,,,NKCES,905
20142015,8,BOONE,35,Boone County,8,North Pointe Elementary School,35008,A1,8035008,210051001883,Accountability,Elementary School,69.4,79,Proficient,,73.0,73.5,No,YES,Yes,N/A,90,,,NKCES,905
20142015,8,BOONE,35,Boone County,81,Ockerman Elementary School,35081,A1,8035081,210051000089,Accountability,Elementary School,68.6,75,Proficient,,69.0,69.5,No,YES,Yes,N/A,78,,,NKCES,905
20142015,8,BOONE,35,Boone County,85,Ockerman Middle School,35085,A1,8035085,210051000090,Accountability,Middle School,67.0,76,Proficient,,72.1,72.6,No,YES,Yes,N/A,94,,,NKCES,905
20142015,8,BOONE,35,Boone County,15,Randall K. Cooper High School,35015,A1,8035015,210051002206,Accountability,High School,77.1,94,Distinguished,,77.0,77.5,No,YES,Yes,Yes,94,,,NKCES,905
20142015,8,BOONE,35,Boone County,20,Rector A. Jones Middle School,35020,A1,8035020,210051000080,Accountability,Middle School,57.4,35,Needs Improvement,Focus School,57.0,58.0,No,YES,Yes,N/A,32,,,NKCES,905
20142015,8,BOONE,35,Boone County,11,Shirley Mann Elementary School,35011,A1,8035011,210051002022,Accountability,Elementary School,75.4,94,Distinguished,,76.4,76.9,No,YES,Yes,N/A,95,,,NKCES,905
20142015,8,BOONE,35,Boone County,83,Stephens Elementary School,35083,A1,8035083,210051001695,Accountability,Elementary School,65.5,62,Needs Improvement,,66.7,67.7,No,YES,Yes,N/A,67,,,NKCES,905
20142015,8,BOONE,35,Boone County,12,Thornwilde Elementary School,35012,A1,8035012,210051002290,Accountability,Elementary School,73.7,91,Distinguished,,74.4,74.9,No,YES,Yes,N/A,92,,,NKCES,905
20142015,8,BOONE,35,Boone County,,---District Total---,35,,,,Accountability,District Overall,70.7,90,Distinguished,,71.2,71.7,No,YES,No,No,91,,,NKCES,905
20142015,9,BOURBON,41,Bourbon County,10,Bourbon Central Elementary School,41010,A1,9041010,210054001576,Accountability,Elementary School,67.8,72,Proficient,,68.1,68.6,No,YES,Yes,N/A,73,,,CKEC,901
20142015,9,BOURBON,41,Bourbon County,110,Bourbon County High School,41110,A1,9041110,210054000098,Accountability,High School,75.5,90,Distinguished,,72.6,73.1,Yes,YES,Yes,No,77,,,CKEC,901
20142015,9,BOURBON,41,Bourbon County,120,Bourbon County Middle School,41120,A1,9041120,210054000099,Accountability,Middle School,66.4,73,Proficient/Progressing,Focus School,65.0,66.0,Yes,YES,Yes,N/A,65,,,CKEC,901
20142015,9,BOURBON,41,Bourbon County,30,Cane Ridge Elementary School,41030,A1,9041030,210054000024,Accountability,Elementary School,68.5,75,Proficient/Progressing,,67.8,68.3,Yes,YES,Yes,N/A,72,,,CKEC,901
20142015,9,BOURBON,41,Bourbon County,90,North Middletown Elementary School,41090,A1,9041090,210054000096,Accountability,Elementary School,72.1,87,Proficient/Progressing,,70.7,71.2,Yes,YES,Yes,N/A,83,,,CKEC,901
20142015,9,BOURBON,41,Bourbon County,,---District Total---,41,,,,Accountability,District Overall,70.2,89,Proficient,,68.6,69.1,Yes,YES,Yes,No,86,,,CKEC,901
20142015,114,WARREN,42,Bowling Green Independent,70,Bowling Green High School,42070,A1,114042070,210057000105,Accountability,High School,74.1,85,Proficient,Focus School,72.0,72.5,Yes,YES,Yes,No,76,,,GRREC,902
20142015,114,WARREN,42,Bowling Green Independent,65,Bowling Green Junior High,42065,A1,114042065,210057000104,Accountability,Middle School,69.1,85,Proficient/Progressing,,66.7,67.2,Yes,YES,Yes,N/A,74,,,GRREC,902
20142015,114,WARREN,42,Bowling Green Independent,10,Dishman McGinnis Elementary School,42010,A1,114042010,210057000100,Accountability,Elementary School,58.3,32,Needs Improvement,,63.6,64.6,No,YES,Yes,N/A,54,,,GRREC,902
20142015,114,WARREN,42,Bowling Green Independent,57,Parker-Bennett-Curry School,42057,A1,114042057,210057000102,Accountability,Elementary School,53.6,18,Needs Improvement,Focus School,54.7,55.7,No,YES,Yes,N/A,20,,,GRREC,902
20142015,114,WARREN,42,Bowling Green Independent,60,Potter Gray Elementary,42060,A1,114042060,210057000103,Accountability,Elementary School,71.1,84,Proficient,,73.7,74.2,No,YES,Yes,N/A,91,,,GRREC,902
20142015,114,WARREN,42,Bowling Green Independent,80,T C Cherry Elementary School,42080,A1,114042080,210057000106,Accountability,Elementary School,62.7,51,Needs Improvement,,63.3,64.3,No,YES,Yes,N/A,53,,,GRREC,902
20142015,114,WARREN,42,Bowling Green Independent,90,W R McNeill Elementary School,42090,A1,114042090,210057000107,Accountability,Elementary School,77.7,98,Distinguished,,77.4,77.9,No,YES,Yes,N/A,97,,,GRREC,902
20142015,114,WARREN,42,Bowling Green Independent,,---District Total---,42,,,,Accountability,District Overall,68.9,88,Proficient,,68.2,68.7,Yes,YES,Yes,No,84,,,GRREC,902
20142015,10,BOYD,45,Boyd County,10,Boyd County High School,45010,A1,10045010,210062000108,Accountability,High School,71.3,73,Proficient,,69.4,70.4,Yes,YES,Yes,No,65,,,KEDC,903
20142015,10,BOYD,45,Boyd County,35,Boyd County Middle School,45035,A1,10045035,210062000112,Accountability,Middle School,63.8,60,Needs Improvement,,67.9,68.4,No,YES,Yes,N/A,80,,,KEDC,903
20142015,10,BOYD,45,Boyd County,20,Cannonsburg Elementary School,45020,A1,10045020,210062000109,Accountability,Elementary School,64.7,58,Needs Improvement,,67.2,67.7,No,YES,Yes,N/A,70,,,KEDC,903
20142015,10,BOYD,45,Boyd County,95,Catlettsburg Elementary School,45095,A1,10045095,210062000118,Accountability,Elementary School,74.7,92,Distinguished/Progressing,High Performing School,67.7,68.2,Yes,YES,Yes,N/A,72,,,KEDC,903
20142015,10,BOYD,45,Boyd County,97,Ponderosa Elementary School,45097,A1,10045097,210062000030,Accountability,Elementary School,78.1,98,Distinguished/Progressing,School of Distinction,72.7,73.2,Yes,YES,Yes,N/A,89,,,KEDC,903
20142015,10,BOYD,45,Boyd County,80,Summit Elementary School,45080,A1,10045080,210062000117,Accountability,Elementary School,65.9,63,Needs Improvement,,67.6,68.1,No,YES,Yes,N/A,71,,,KEDC,903
20142015,10,BOYD,45,Boyd County,,---District Total---,45,,,,Accountability,District Overall,68.6,86,Proficient,,68.8,69.3,No,YES,Yes,No,88,,,KEDC,903
20142015,11,BOYLE,51,Boyle County,5,Boyle County High School,51005,A1,11051005,210063000120,Accountability,High School,79.9,97,Distinguished/Progressing,School of Distinction,78.0,78.5,Yes,YES,Yes,Yes,95,,,CKEC,901
