SCH_YEAR,SCH_CD,DIST_NAME,SCH_NAME,SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,ENROLLMENT_TOTAL,ENROLLMENT_MALE_CNT,ENROLLMENT_MALE_PCT,ENROLLMENT_FEMALE_CNT,ENROLLMENT_FEMALE_PCT,ENROLLMENT_WHITE_CNT,ENROLLMENT_WHITE_PCT,ENROLLMENT_BLACK_CNT,ENROLLMENT_BLACK_PCT,ENROLLMENT_HISPANIC_CNT,ENROLLMENT_HISPANIC_PCT,ENROLLMENT_ASIAN_CNT,ENROLLMENT_ASIAN_PCT,ENROLLMENT_AIAN_CNT,ENROLLMENT_AIAN_PCT,ENROLLMENT_HAWAIIAN_CNT,ENROLLMENT_HAWAIIAN_PCT,ENROLLMENT_OTHER_CNT,ENROLLMENT_OTHER_PCT,ENROLLMENT_FREE_LUNCH_CNT,ENROLLMENT_FREE_LUNCH_PCT,ENROLLMENT_REDUCED_LUNCH_CNT,ENROLLMENT_REDUCED_LUNCH_PCT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_FAILURE_CNT,TRANSITION_FAILURE_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FTE_TCH_TOTAL,MALE_FTE_TOTAL,FEMALE_FTE_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS
20122013,5020,Allen County,Allen County-Scottsville High School,9037,761,800,418,52.3%,382,47.8%,752,94.0%,12,1.5%,20,2.5%,1,0.1%,4,0.5%,0,0.0%,11,1.4%,383,47.9%,59,7.4%,93.4%,1.3%,1.6%,84.6%,96,43.0%,83,37.2%,13,5.8%,6,2.7%,56,25.1%,50,22.4%,6,2.7%,9,4.0%,15:1,53.38,17.13,36.25,4,0.0%,11,16.4%,50.9%,32.7%,0.0%,0.0%,100.0%,0.0%,2:1,26.6%,649,36,2,6241
20122013,5015,Allen County,James E Bazzell Middle School,6906,452,475,239,50.3%,236,49.7%,449,94.5%,5,1.1%,15,3.2%,1,0.2%,0,0.0%,0,0.0%,5,1.1%,232,48.8%,35,7.4%,95.2%,0.9%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:1,25.88,7.63,18.25,1,0.0%,11,33.3%,51.5%,15.2%,0.0%,0.0%,100.0%,0.0%,2.9:1,39%,379,78,2,185
20122013,5,Allen County,---District---,9387,2728.17,2856,1458,51.1%,"1,398",48.9%,"2,703",94.6%,27,0.9%,75,2.6%,9,0.3%,4,0.1%,0,0.0%,38,1.3%,"1,524",53.4%,209,7.3%,94.7%,0.8%,1.2%,84.6%,96,43.0%,83,37.2%,13,5.8%,6,2.7%,56,25.1%,50,22.4%,6,2.7%,9,4.0%,16:1,180.01,30.01,150.00,13,0.0%,11.6,17.9%,55.4%,26.7%,0.0%,0.0%,100.0%,1.0%,2.3:1,33.3%,2278,188,19,10458
20122013,6010,Anchorage Independent,Anchorage Independent Public School,18275,366.96,375,187,49.9%,188,50.1%,337,89.9%,2,0.5%,8,2.1%,20,5.3%,0,0.0%,0,0.0%,8,2.1%,3,0.8%,0,0.0%,97.7%,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:1,38.31,3.00,35.31,6,0.0%,16.3,7.7%,51.3%,38.5%,0.0%,2.6%,100.0%,0.0%,3.1:1,33.9%,375,54,4,9200
20122013,6,Anchorage Independent,---District---,18275,366.96,375,187,49.9%,188,50.1%,337,89.9%,2,0.5%,8,2.1%,20,5.3%,0,0.0%,0,0.0%,8,2.1%,3,0.8%,0,0.0%,97.7%,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:1,38.31,3.00,35.31,6,0.0%,16.3,7.7%,51.3%,38.5%,0.0%,2.6%,100.0%,0.0%,3.1:1,33.9%,375,54,4,9200
20122013,11020,Anderson County,Anderson County High School,6360,1086.91,1159,586,50.6%,573,49.4%,"1,062",91.6%,26,2.2%,18,1.6%,4,0.3%,4,0.3%,0,0.0%,45,3.9%,378,32.6%,82,7.1%,92.1%,6.8%,0.9%,84.5%,192,70.1%,177,64.6%,15,5.5%,7,2.6%,51,18.6%,16,5.8%,0,0.0%,8,2.9%,17:1,69.00,32.50,36.50,7,0.0%,11.3,18.7%,44.0%,37.3%,0.0%,0.0%,100.0%,1.2%,3.6:1,42%,725,55,2,500
20122013,11025,Anderson County,Anderson County Middle School,5360,830.12,874,446,51.0%,428,49.0%,799,91.4%,15,1.7%,29,3.3%,1,0.1%,0,0.0%,0,0.0%,30,3.4%,340,38.9%,63,7.2%,94.9%,0.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19:1,46.00,16.50,29.50,2,0.0%,10.5,14.9%,48.9%,36.2%,0.0%,0.0%,100.0%,0.0%,4.2:1,43.4%,312,33,4,989
20122013,11110,Anderson County,Emma B. Ward Elementary School,6583,460.2,481,256,53.2%,225,46.8%,429,89.2%,13,2.7%,16,3.3%,4,0.8%,0,0.0%,0,0.0%,19,4.0%,202,42.0%,34,7.1%,96.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,31.00,4.00,27.00,4,0.0%,10.8,12.5%,50.0%,37.5%,0.0%,0.0%,100.0%,0.0%,3:1,10.3%,315,50,10,3000
20122013,11120,Anderson County,Ezra B. Sparrow Early Childhood Center,13963,200.77,214,109,50.9%,105,49.1%,194,90.7%,0,0.0%,9,4.2%,1,0.5%,0,0.0%,0,0.0%,10,4.7%,104,48.6%,12,5.6%,94.5%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:1,19.00,,19.00,1,0.0%,9.8,17.6%,70.6%,11.8%,0.0%,0.0%,100.0%,0.0%,3.7:1,100%,200,10,6,1643
20122013,11022,Anderson County,Robert B. Turner Elementary School,5928,527.59,556,299,53.8%,257,46.2%,519,93.3%,8,1.4%,14,2.5%,3,0.5%,1,0.2%,0,0.0%,11,2.0%,229,41.2%,41,7.4%,95.4%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,34.00,3.00,31.00,1,0.0%,10.1,17.2%,48.3%,34.5%,0.0%,0.0%,100.0%,0.0%,3.3:1,10.5%,432,21,5,1432
20122013,11050,Anderson County,Saffell Street Elementary School,6520,441.04,458,227,49.6%,231,50.4%,402,87.8%,9,2.0%,20,4.4%,4,0.9%,0,0.0%,0,0.0%,23,5.0%,215,46.9%,31,6.8%,95.8%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,27.00,2.00,25.00,3,0.0%,13.4,23.1%,57.7%,19.2%,0.0%,0.0%,100.0%,0.0%,3:1,13.4%,358,108,15,476
20122013,11,Anderson County,---District---,9185,3546.63,3742,1923,51.4%,"1,819",48.6%,"3,405",91.0%,71,1.9%,106,2.8%,17,0.5%,5,0.1%,0,0.0%,138,3.7%,"1,468",39.2%,263,7.0%,94.3%,3.2%,0.6%,84.5%,192,70.1%,177,64.6%,15,5.5%,7,2.6%,51,18.6%,16,5.8%,0,0.0%,8,2.9%,17:1,226.00,58.00,168.00,18,0.0%,11,17.4%,50.0%,32.6%,0.0%,0.0%,100.0%,0.4%,3.4:1,31.9%,2342,277,42,8040
20122013,12011,Ashland Independent,Ashland Central School,7382,11.87,4,4,100.0%,0,0.0%,3,75.0%,1,25.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,0.0%,,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,0,0.0%,9,0.0%,50.0%,50.0%,0.0%,0.0%,100.0%,0.0%,0:1,0%,6,0,0,0
20122013,12130,Ashland Independent,Charles Russell Elementary School,7513,309.23,318,150,47.2%,168,52.8%,293,92.1%,4,1.3%,9,2.8%,1,0.3%,0,0.0%,0,0.0%,11,3.5%,168,52.8%,17,5.3%,95.8%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,18.70,2.50,16.20,0,0.0%,16.1,7.4%,59.3%,33.3%,0.0%,0.0%,100.0%,0.0%,2.1:1,79.9%,275,18,2,1875
20122013,12070,Ashland Independent,Crabbe Elementary School,7847,363.15,382,197,51.6%,185,48.4%,306,80.1%,31,8.1%,22,5.8%,2,0.5%,1,0.3%,0,0.0%,20,5.2%,327,85.6%,16,4.2%,94.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,23.70,4.60,19.10,0,0.0%,13.8,18.5%,40.7%,40.7%,0.0%,0.0%,100.0%,0.0%,2.5:1,78.4%,100,4,4,1335
20122013,12050,Ashland Independent,George M. Verity Middle School,8522,424.97,435,204,46.9%,231,53.1%,391,89.9%,27,6.2%,6,1.4%,3,0.7%,0,0.0%,0,0.0%,8,1.8%,207,47.6%,17,3.9%,94.6%,0.4%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,33.14,11.30,21.84,0,0.0%,16.9,12.5%,52.5%,35.0%,0.0%,0.0%,100.0%,0.0%,2:1,93.8%,300,17,18,1000
20122013,12080,Ashland Independent,Hager Elementary School,6520,326.4,343,178,51.9%,165,48.1%,314,91.5%,9,2.6%,9,2.6%,0,0.0%,0,0.0%,0,0.0%,11,3.2%,126,36.7%,24,7.0%,95.5%,1.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:1,19.10,0.50,18.60,0,0.0%,16.5,15.4%,69.2%,15.4%,0.0%,0.0%,100.0%,0.0%,2.5:1,94.7%,305,28,10,825
20122013,12100,Ashland Independent,Oakview Elementary School,7126,414.51,436,237,54.4%,199,45.6%,399,91.5%,17,3.9%,6,1.4%,4,0.9%,0,0.0%,1,0.2%,9,2.1%,208,47.7%,23,5.3%,95.6%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,28.10,3.00,25.10,0,0.0%,15.1,9.7%,74.2%,16.1%,0.0%,0.0%,100.0%,0.0%,3.3:1,83.1%,396,16,20,1024
20122013,12010,Ashland Independent,Paul G. Blazer High School,7378,818.18,855,413,48.3%,442,51.7%,764,89.4%,46,5.4%,10,1.2%,5,0.6%,2,0.2%,0,0.0%,28,3.3%,359,42.0%,42,4.9%,94.0%,1.9%,0.9%,84.0%,144,63.2%,121,53.1%,23,10.1%,12,5.3%,40,17.5%,16,7.0%,7,3.1%,9,3.9%,15:1,56.60,25.70,30.90,2,0.0%,13.8,12.9%,64.5%,21.0%,0.0%,1.6%,100.0%,1.6%,3:1,82.8%,126,9,3,2400
20122013,12110,Ashland Independent,Poage Elementary School,8894,238.95,251,120,47.8%,131,52.2%,224,89.2%,7,2.8%,0,0.0%,2,0.8%,0,0.0%,0,0.0%,18,7.2%,150,59.8%,11,4.4%,94.8%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,15.40,1.40,14.00,0,0.0%,13.1,26.1%,43.5%,30.4%,0.0%,0.0%,100.0%,0.0%,1.8:1,91.8%,208,28,6,725
20122013,12,Ashland Independent,---District---,9513,2907.26,3024,1503,49.7%,"1,521",50.3%,"2,694",89.1%,142,4.7%,62,2.1%,17,0.6%,3,0.1%,1,0.0%,105,3.5%,"1,545",51.1%,150,5.0%,94.7%,1.1%,0.7%,84.7%,144,61.5%,121,51.7%,23,9.8%,12,5.1%,45,19.2%,16,6.8%,7,3.0%,10,4.3%,15:1,202.50,49.00,153.50,2,0.0%,14.8,13.6%,58.4%,27.2%,0.4%,0.4%,100.0%,0.4%,2.5:1,86.2%,1710,120,63,9184
20122013,13011,Augusta Independent,Augusta Independent School,8501,273.87,284,155,54.6%,129,45.4%,274,96.5%,9,3.2%,1,0.4%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,166,58.5%,30,10.6%,94.8%,0.9%,0.0%,100.0%,12,41.4%,12,41.4%,0,0.0%,4,13.8%,8,27.6%,0,0.0%,2,6.9%,3,10.3%,14:1,21.00,5.00,16.00,0,0.0%,6,42.9%,52.4%,4.8%,0.0%,0.0%,100.0%,4.3%,2:1,38.1%,242,0,0,1867
20122013,13,Augusta Independent,---District---,8501,273.87,284,155,54.6%,129,45.4%,274,96.5%,9,3.2%,1,0.4%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,166,58.5%,30,10.6%,94.8%,0.9%,0.0%,100.0%,12,41.4%,12,41.4%,0,0.0%,4,13.8%,8,27.6%,0,0.0%,2,6.9%,3,10.3%,14:1,21.00,5.00,16.00,0,0.0%,6,42.9%,52.4%,4.8%,0.0%,0.0%,100.0%,4.3%,2:1,38.1%,242,0,0,1867
20122013,15050,Ballard County,Ballard County Elementary School,6115,532.78,563,288,51.2%,275,48.8%,510,90.6%,17,3.0%,8,1.4%,0,0.0%,1,0.2%,0,0.0%,27,4.8%,314,55.8%,39,6.9%,96.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,35.00,1.00,34.00,2,0.0%,13.6,9.4%,71.9%,18.8%,0.0%,0.0%,100.0%,0.0%,4:1,44.8%,243,17,3,342
20122013,15005,Ballard County,Ballard County Middle School,5306,328.38,346,191,55.2%,155,44.8%,307,88.7%,20,5.8%,7,2.0%,0,0.0%,0,0.0%,0,0.0%,12,3.5%,167,48.3%,34,9.8%,96.1%,0.9%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19:1,18.50,4.00,14.50,1,0.0%,9.1,42.9%,42.9%,14.3%,0.0%,0.0%,100.0%,0.0%,2.8:1,35%,189,43,3,340
20122013,15905,Ballard County,Ballard County Vocational School,,,406,200,49.3%,206,50.7%,382,94.1%,12,3.0%,1,0.2%,1,0.2%,1,0.2%,0,0.0%,8,2.0%,,0.0%,,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0:1,0%,,,,
20122013,15010,Ballard County,Ballard Memorial High School,7717,389.2,400,204,51.0%,196,49.0%,377,94.3%,12,3.0%,1,0.3%,1,0.3%,0,0.0%,0,0.0%,9,2.3%,160,40.0%,31,7.8%,95.3%,0.0%,0.9%,94.2%,54,55.7%,49,50.5%,5,5.2%,2,2.1%,33,34.0%,2,2.1%,5,5.2%,1,1.0%,13:1,30.50,12.00,18.50,0,0.0%,10.5,25.9%,48.1%,25.9%,0.0%,0.0%,100.0%,0.0%,1.4:1,38.5%,176,71,2,1872
20122013,15,Ballard County,---District---,10276,1250.36,1309,683,52.2%,626,47.8%,"1,194",91.2%,49,3.7%,16,1.2%,1,0.1%,1,0.1%,0,0.0%,48,3.7%,641,49.0%,104,7.9%,95.9%,0.3%,0.6%,94.2%,54,55.7%,49,50.5%,5,5.2%,2,2.1%,33,34.0%,2,2.1%,5,5.2%,1,1.0%,15:1,88.00,17.00,71.00,4,0.0%,11.5,22.6%,57.1%,20.2%,0.0%,0.0%,100.0%,0.0%,2.3:1,44.9%,608,131,8,2554
20122013,16011,Barbourville Independent,Barbourville City School,5317,603.21,640,301,47.0%,339,53.0%,615,96.1%,13,2.0%,6,0.9%,0,0.0%,0,0.0%,0,0.0%,6,0.9%,358,55.9%,61,9.5%,92.7%,2.4%,0.6%,86.2%,32,60.4%,32,60.4%,0,0.0%,10,18.9%,10,18.9%,0,0.0%,0,0.0%,1,1.9%,17:1,38.00,7.00,31.00,0,0.0%,13,6.5%,39.1%,54.3%,0.0%,0.0%,100.0%,2.1%,4.2:1,66.9%,376,,,1305
20122013,16,Barbourville Independent,---District---,9369,603.21,640,301,47.0%,339,53.0%,615,96.1%,13,2.0%,6,0.9%,0,0.0%,0,0.0%,0,0.0%,6,0.9%,358,55.9%,61,9.5%,92.7%,2.4%,0.6%,86.2%,32,60.4%,32,60.4%,0,0.0%,10,18.9%,10,18.9%,0,0.0%,0,0.0%,1,1.9%,17:1,38.00,7.00,31.00,0,0.0%,13,6.5%,39.1%,54.3%,0.0%,0.0%,100.0%,2.1%,4.2:1,66.9%,376,,,1305
20122013,17010,Bardstown Independent,Bardstown Elementary School,5953,613.76,628,331,52.7%,297,47.3%,439,69.9%,91,14.5%,46,7.3%,11,1.8%,0,0.0%,0,0.0%,41,6.5%,368,58.6%,40,6.4%,96.1%,0.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:1,35.00,4.00,31.00,0,0.0%,11.6,12.8%,53.8%,33.3%,0.0%,0.0%,100.0%,0.0%,3.3:1,41.6%,550,42,10,1500
20122013,17020,Bardstown Independent,Bardstown High School,6469,579.22,611,303,49.6%,308,50.4%,422,69.1%,135,22.1%,29,4.7%,11,1.8%,2,0.3%,0,0.0%,12,2.0%,312,51.1%,53,8.7%,92.9%,6.0%,2.3%,75.0%,72,51.8%,63,45.3%,9,6.5%,1,0.7%,35,25.2%,28,20.1%,0,0.0%,3,2.2%,16:1,39.00,19.00,20.00,0,0.0%,9.2,17.1%,43.9%,39.0%,0.0%,0.0%,100.0%,0.0%,2.3:1,45.5%,450,100,2,200
20122013,17030,Bardstown Independent,Bardstown Middle School,6364,495.73,522,278,53.3%,244,46.7%,368,70.5%,107,20.5%,17,3.3%,10,1.9%,0,0.0%,1,0.2%,19,3.6%,294,56.3%,37,7.1%,95.3%,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,30.00,10.00,20.00,0,0.0%,11.5,4.5%,65.9%,29.5%,0.0%,0.0%,100.0%,0.0%,3.6:1,40.3%,220,29,3,135
