SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,MEMBERSHIP_TOTAL,MEMBERSHIP_MALE_CNT,MEMBERSHIP_MALE_PCT,MEMBERSHIP_FEMALE_CNT,MEMBERSHIP_FEMALE_PCT,MEMBERSHIP_WHITE_CNT,MEMBERSHIP_WHITE_PCT,MEMBERSHIP_BLACK_CNT,MEMBERSHIP_BLACK_PCT,MEMBERSHIP_HISPANIC_CNT,MEMBERSHIP_HISPANIC_PCT,MEMBERSHIP_ASIAN_CNT,MEMBERSHIP_ASIAN_PCT,MEMBERSHIP_AIAN_CNT,MEMBERSHIP_AIAN_PCT,MEMBERSHIP_HAWAIIAN_CNT,MEMBERSHIP_HAWAIIAN_PCT,MEMBERSHIP_TWO_OR_MORE_CNT,MEMBERSHIP_TWO_OR_MORE_PCT,ENROLLMENT_FREE_LUNCH_CNT,ENROLLMENT_FREE_LUNCH_PCT,ENROLLMENT_REDUCED_LUNCH_CNT,ENROLLMENT_REDUCED_LUNCH_PCT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_FAILURE_CNT,TRANSITION_FAILURE_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FTE_TCH_TOTAL,MALE_FTE_TOTAL,FEMALE_FTE_TOTAL,WHITE_FTE_TOTAL,BLACK_FTE_TOTAL,HISPANIC_FTE_TOTAL,ASIAN_FTE_TOTAL,AIAN_FTE_TOTAL,HAWAIIAN_FTE_TOTAL,TWO_OR_MORE_FTE_TOTAL,RACE_FTE_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS,COOP,COOP_CODE
20152016,2,ALLEN,5,Allen County,15,James E Bazzell Middle School,5015,2005015,210007000009,8703,435.71,459,229,49.9%,230,50.1%,434,94.6%,3,0.7%,11,2.4%,2,0.4%,0,0.0%,1,0.2%,8,1.7%,264,57.5%,23,5.0%,94.9%,2.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,28.00,8.00,20.00,27.00,0.00,0.00,0.00,0.00,1.00,0.00,28.00,2,0.0%,11.6,24.1%,58.6%,17.2%,0.0%,0.0%,100.0%,0.0%,2.2:1,100%,390,86,2,804,GRREC,902
20152016,2,ALLEN,5,Allen County,,---District Total---,5,,,9111,2806.84,2969,"1,507",50.8%,"1,462",49.2%,"2,787",93.9%,26,0.9%,90,3.0%,13,0.4%,0,0.0%,1,0.0%,52,1.8%,"1,726",58.1%,173,5.8%,94.3%,1.3%,0.7%,N/A,66,34.0%,64,33.0%,2,1.0%,9,4.6%,79,40.7%,32,16.5%,4,2.1%,4,2.1%,16:1,185.00,32.00,153.00,181.00,2.00,0.00,0.00,0.00,2.00,0.00,185.00,14,0.1%,12.4,18.8%,55.2%,25.4%,0.0%,0.6%,100.0%,0.5%,1.9:1,100%,1908,208,36,4785,GRREC,902
20152016,56,JEFFERSON,6,Anchorage Independent,10,Anchorage Independent Public School,6010,56006010,210009000014,18858,355.42,363,192,52.9%,171,47.1%,336,92.6%,0,0.0%,5,1.4%,16,4.4%,0,0.0%,0,0.0%,6,1.7%,10,2.8%,0,0.0%,97.5%,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:1,37.00,4.00,33.00,36.00,1.00,0.00,0.00,0.00,0.00,0.00,37.00,5,0.0%,14.9,8.1%,56.8%,32.4%,0.0%,2.7%,100.0%,0.0%,.9:1,100%,100,42,3,9200,OVEC,906
20152016,56,JEFFERSON,6,Anchorage Independent,,---District Total---,6,,,18592,355.42,363,192,52.9%,171,47.1%,336,92.6%,0,0.0%,5,1.4%,16,4.4%,0,0.0%,0,0.0%,6,1.7%,10,2.8%,0,0.0%,97.5%,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9:1,37.00,4.00,33.00,36.00,1.00,0.00,0.00,0.00,0.00,0.00,37.00,5,0.0%,14.9,8.1%,56.8%,32.4%,0.0%,2.7%,100.0%,0.0%,.9:1,100%,100,42,3,9200,OVEC,906
20152016,3,ANDERSON,11,Anderson County,30,APEX Academy,11030,3011030,210012002371,17902,21.97,27,17,63.0%,10,37.0%,24,88.9%,0,0.0%,1,3.7%,0,0.0%,0,0.0%,0,0.0%,2,7.4%,18,66.7%,3,11.1%,77.8%,7.4%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9:1,3.00,2.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0,0.0%,21.3,25.0%,25.0%,50.0%,0.0%,0.0%,100.0%,0.0%,.7:1,100%,31,,,4,CKEC,901
20152016,3,ANDERSON,11,Anderson County,20,Anderson County High School,11020,3011020,210012000016,8411,992.53,1064,521,49.0%,543,51.0%,974,91.5%,16,1.5%,28,2.6%,3,0.3%,0,0.0%,0,0.0%,43,4.0%,359,33.7%,60,5.6%,91.8%,6.5%,1.1%,N/A,178,58.7%,166,54.8%,12,4.0%,7,2.3%,99,32.7%,6,2.0%,1,0.3%,12,4.0%,18:1,61.00,25.00,36.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00,6,0.0%,11.7,18.9%,40.5%,39.2%,1.4%,0.0%,100.0%,0.0%,2:1,100%,700,18,3,511,CKEC,901
20152016,3,ANDERSON,11,Anderson County,25,Anderson County Middle School,11025,3011025,210012000017,7102,810.64,855,451,52.7%,404,47.3%,775,90.6%,18,2.1%,18,2.1%,6,0.7%,1,0.1%,0,0.0%,37,4.3%,335,39.2%,46,5.4%,95.0%,0.6%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20:1,44.00,11.00,33.00,43.00,0.00,0.00,1.00,0.00,0.00,0.00,44.00,6,0.0%,11.4,10.9%,47.8%,41.3%,0.0%,0.0%,100.0%,0.0%,2:1,100%,473,23,6,689,CKEC,901
20152016,3,ANDERSON,11,Anderson County,110,Emma B. Ward Elementary School,11110,3011110,210012000021,8674,460,480,253,52.7%,227,47.3%,439,91.5%,7,1.5%,13,2.7%,6,1.3%,0,0.0%,0,0.0%,15,3.1%,185,38.5%,28,5.8%,95.6%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,34.00,5.00,29.00,33.00,0.00,0.00,1.00,0.00,0.00,0.00,34.00,5,0.0%,12,12.5%,54.2%,33.3%,0.0%,0.0%,100.0%,0.0%,1.7:1,100%,234,26,7,2950,CKEC,901
20152016,3,ANDERSON,11,Anderson County,120,Ezra Sparrow Early Childhood Center,11120,3011120,210012001298,19155,152.45,162,81,50.0%,81,50.0%,152,93.8%,1,0.6%,5,3.1%,0,0.0%,0,0.0%,0,0.0%,4,2.5%,79,48.8%,7,4.3%,94.7%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8:1,20.00,1.00,19.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0,0.0%,4.1,58.3%,41.7%,0.0%,0.0%,0.0%,100.0%,0.0%,1.2:1,100%,160,25,3,1500,CKEC,901
20152016,3,ANDERSON,11,Anderson County,22,Robert B. Turner Elementary School,11022,3011022,210012001955,7914,546.07,567,298,52.6%,269,47.4%,534,94.2%,6,1.1%,11,1.9%,3,0.5%,0,0.0%,0,0.0%,13,2.3%,249,43.9%,28,4.9%,95.7%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,35.00,4.00,31.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,1,0.0%,11,14.3%,60.7%,25.0%,0.0%,0.0%,100.0%,0.0%,2:1,100%,512,23,3,812,CKEC,901
20152016,3,ANDERSON,11,Anderson County,50,Saffell Street Elementary School,11050,3011050,210012000018,8312,449.72,472,238,50.4%,234,49.6%,410,86.9%,9,1.9%,25,5.3%,0,0.0%,0,0.0%,0,0.0%,28,5.9%,275,58.3%,27,5.7%,95.4%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,29.00,5.00,24.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,2,0.0%,14.3,30.8%,57.7%,11.5%,0.0%,0.0%,100.0%,0.0%,1.7:1,100%,366,,2,,CKEC,901
20152016,3,ANDERSON,11,Anderson County,,---District Total---,11,,,8550,3433.38,3627,"1,859",51.3%,"1,768",48.7%,"3,308",91.2%,57,1.6%,101,2.8%,18,0.5%,1,0.0%,0,0.0%,142,3.9%,"1,500",41.4%,199,5.5%,94.2%,3.0%,0.8%,N/A,178,58.7%,166,54.8%,12,4.0%,7,2.3%,99,32.7%,6,2.0%,1,0.3%,12,4.0%,16:1,221.00,48.00,173.00,219.00,0.00,0.00,2.00,0.00,0.00,0.00,221.00,20,0.0%,11.7,19.6%,48.1%,31.8%,0.5%,0.0%,100.0%,0.0%,1.8:1,100%,2476,115,24,6466,CKEC,901
20152016,10,BOYD,12,Ashland Independent,50,Ashland Middle School,12050,10012050,210015000023,9897,696.75,728,381,52.3%,347,47.7%,666,91.5%,22,3.0%,13,1.8%,2,0.3%,2,0.3%,0,0.0%,23,3.2%,390,53.6%,30,4.1%,95.0%,0.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,49.00,16.00,33.00,47.00,2.00,0.00,0.00,0.00,0.00,0.00,49.00,1,0.0%,14.1,25.5%,47.1%,27.5%,0.0%,0.0%,100.0%,0.0%,2.3:1,100%,250,55,15,300,KEDC,903
20152016,10,BOYD,12,Ashland Independent,130,Charles Russell Elementary School,12130,10012130,210015000031,11386,277.28,278,130,46.8%,148,53.2%,241,86.7%,11,4.0%,8,2.9%,1,0.4%,1,0.4%,0,0.0%,16,5.8%,161,57.9%,14,5.0%,96.2%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,20.00,4.00,16.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0,0.0%,13.6,16.7%,45.8%,33.3%,4.2%,0.0%,100.0%,0.0%,1.2:1,100%,285,12,2,250,KEDC,903
20152016,10,BOYD,12,Ashland Independent,70,Crabbe Elementary School,12070,10012070,210015000025,13747,251.85,271,142,52.4%,129,47.6%,210,77.5%,20,7.4%,19,7.0%,1,0.4%,0,0.0%,1,0.4%,20,7.4%,241,88.9%,8,3.0%,95.5%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,22.00,2.00,20.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0,0.0%,13.1,11.1%,40.7%,48.1%,0.0%,0.0%,100.0%,0.0%,.9:1,100%,230,55,8,1800,KEDC,903
20152016,10,BOYD,12,Ashland Independent,80,Hager Elementary School,12080,10012080,210015000026,9849,309.2,324,163,50.3%,161,49.7%,282,87.0%,6,1.9%,12,3.7%,2,0.6%,0,0.0%,0,0.0%,22,6.8%,140,43.2%,26,8.0%,96.2%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:1,20.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0,0.0%,13.3,20.0%,52.0%,28.0%,0.0%,0.0%,100.0%,0.0%,1.9:1,100%,318,25,8,625,KEDC,903
20152016,10,BOYD,12,Ashland Independent,100,Oakview Elementary School,12100,10012100,210015000028,11121,320.67,333,181,54.4%,152,45.6%,303,91.0%,16,4.8%,4,1.2%,1,0.3%,0,0.0%,0,0.0%,9,2.7%,199,59.8%,28,8.4%,95.5%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,22.00,2.00,20.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,1,0.0%,13.2,24.1%,58.6%,17.2%,0.0%,0.0%,100.0%,0.0%,1.7:1,100%,456,16,26,864,KEDC,903
20152016,10,BOYD,12,Ashland Independent,10,Paul G. Blazer High School,12010,10012010,210015000022,9751,821.9,862,412,47.8%,450,52.2%,774,89.8%,39,4.5%,11,1.3%,3,0.3%,0,0.0%,0,0.0%,35,4.1%,416,48.3%,55,6.4%,93.7%,1.1%,1.0%,N/A,131,65.8%,118,59.3%,13,6.5%,6,3.0%,40,20.1%,7,3.5%,8,4.0%,7,3.5%,15:1,61.00,29.00,32.00,60.00,1.00,0.00,0.00,0.00,0.00,0.00,61.00,1,0.0%,13.6,18.5%,53.7%,25.9%,0.0%,1.9%,100.0%,3.4%,2.2:1,100%,176,38,2,3220,KEDC,903
20152016,10,BOYD,12,Ashland Independent,110,Poage Elementary School,12110,10012110,210015000029,12902,251.94,262,142,54.2%,120,45.8%,226,86.3%,11,4.2%,6,2.3%,3,1.1%,0,0.0%,0,0.0%,16,6.1%,168,64.1%,9,3.4%,95.7%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,19.00,3.00,16.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0,0.0%,10.2,13.0%,60.9%,26.1%,0.0%,0.0%,100.0%,0.0%,1.3:1,100%,198,32,3,60,KEDC,903
20152016,10,BOYD,12,Ashland Independent,,---District Total---,12,,,10318,2929.59,3058,"1,551",50.7%,"1,507",49.3%,"2,702",88.4%,125,4.1%,73,2.4%,13,0.4%,3,0.1%,1,0.0%,141,4.6%,"1,715",56.1%,170,5.6%,95.0%,0.5%,0.7%,N/A,131,65.8%,118,59.3%,13,6.5%,6,3.0%,40,20.1%,7,3.5%,8,4.0%,7,3.5%,14:1,208.00,53.00,155.00,205.00,3.00,0.00,0.00,0.00,0.00,0.00,208.00,3,0.0%,13,19.3%,51.7%,28.2%,0.4%,0.4%,100.0%,0.8%,1.7:1,100%,1913,233,64,7119,KEDC,903
20152016,12,BRACKEN,13,Augusta Independent,11,Augusta Independent School,13011,12013011,210018001968,11245,249.32,265,141,53.2%,124,46.8%,258,97.4%,4,1.5%,3,1.1%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,147,55.5%,27,10.2%,94.8%,1.2%,0.8%,N/A,12,42.9%,11,39.3%,1,3.6%,5,17.9%,7,25.0%,2,7.1%,1,3.6%,1,3.6%,13:1,21.00,6.00,15.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0,0.0%,8.4,26.3%,57.9%,15.8%,0.0%,0.0%,100.0%,9.5%,2.1:1,100%,249,0,0,2455,KEDC,903
20152016,12,BRACKEN,13,Augusta Independent,,---District Total---,13,,,11243,249.32,265,141,53.2%,124,46.8%,258,97.4%,4,1.5%,3,1.1%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,147,55.5%,27,10.2%,94.8%,1.2%,0.8%,N/A,12,42.9%,11,39.3%,1,3.6%,5,17.9%,7,25.0%,2,7.1%,1,3.6%,1,3.6%,12:1,21.00,6.00,15.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0,0.0%,8.4,26.3%,57.9%,15.8%,0.0%,0.0%,100.0%,9.5%,2.1:1,100%,249,0,0,2455,KEDC,903
20152016,4,BALLARD,15,Ballard County,905,Ballard County Career and Technology Ctr,15905,4015905,210021002404,,,352,193,54.8%,159,45.2%,313,88.9%,17,4.8%,7,2.0%,2,0.6%,0,0.0%,0,0.0%,13,3.7%,,0.0%,,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0:1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0:1,100%,,,,,WKEC,908
20152016,4,BALLARD,15,Ballard County,50,Ballard County Elementary School,15050,4015050,210021000356,9740,502.89,527,271,51.4%,256,48.6%,479,90.9%,10,1.9%,6,1.1%,0,0.0%,1,0.2%,0,0.0%,31,5.9%,278,52.8%,22,4.2%,95.6%,0.6%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,32.00,0.00,32.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,1,0.0%,12.9,34.4%,56.3%,9.4%,0.0%,0.0%,100.0%,0.0%,2.1:1,100%,215,21,3,974,WKEC,908
