SCH_YEAR,SCH_CD,DIST_NAME,SCH_NAME,MEMBERSHIP_TOTAL,SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,MEMBERSHIP_MALE_CNT,MEMBERSHIP_MALE_PCT,MEMBERSHIP_FEMALE_CNT,MEMBERSHIP_FEMALE_PCT,MEMBERSHIP_WHITE_CNT,MEMBERSHIP_WHITE_PCT,MEMBERSHIP_BLACK_CNT,MEMBERSHIP_BLACK_PCT,MEMBERSHIP_HISPANIC_CNT,MEMBERSHIP_HISPANIC_PCT,MEMBERSHIP_ASIAN_CNT,MEMBERSHIP_ASIAN_PCT,MEMBERSHIP_AIAN_CNT,MEMBERSHIP_AIAN_PCT,MEMBERSHIP_HAWAIIAN_CNT,MEMBERSHIP_HAWAIIAN_PCT,MEMBERSHIP_OTHER_CNT,MEMBERSHIP_OTHER_PCT,MEMBERSHIP_FREE_LUNCH_CNT,MEMBERSHIP_REDUCED_LUNCH_CNT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_FAILURE_CNT,TRANSITION_FAILURE_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FULLTIME_TCH_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS
20112012,5015,Allen County,James E Bazzell Middle School,441,7644,429.12,230,52.2%,211,47.8%,423,95.9%,3,0.7%,10,2.3%,0,0.0%,0,0.0%,0,0.0%,5,1.1%,221,51,94.6%,0.2%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,26.13,1,36.1%,11.6,24.2%,54.5%,21.2%,0.0%,0.0%,100.0%,11.1%,2.8:1,39.6%,370,85,2,150
20112012,5,Allen County,---District---,2914,9497,"2,781.65","1,478",50.7%,"1,436",49.3%,"2,760",94.7%,33,1.1%,69,2.4%,7,0.2%,5,0.2%,0,0.0%,40,1.4%,"1,420",283,94.4%,1.2%,0.9%,76.8%,118,54.4%,113,52.1%,5,2.3%,6,2.8%,54,24.9%,22,10.1%,11,5.1%,6,2.8%,16:1,185.51,14,7.5%,10.7,20.6%,54.3%,25.1%,0.0%,0.0%,100.0%,6.3%,2.2:1,62.5%,"2,435",165,19,"6,786"
20112012,6010,Anchorage Independent,Anchorage Independent Public School,362,19846,352.68,180,49.7%,182,50.3%,328,90.6%,2,0.6%,5,1.4%,18,5.0%,0,0.0%,0,0.0%,9,2.5%,3,7,97.5%,0.5%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:1,30.94,4,0.0%,17.7,15.0%,40.0%,42.5%,0.0%,2.5%,100.0%,2.5%,1.7:1,74.9%,100,147,6,"9,870"
20112012,6,Anchorage Independent,---District---,362,19846,352.68,180,49.7%,182,50.3%,328,90.6%,2,0.6%,5,1.4%,18,5.0%,0,0.0%,0,0.0%,9,2.5%,3,7,97.5%,0.5%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:1,36.48,5,0.0%,17.7,15.0%,40.0%,42.5%,0.0%,2.5%,100.0%,2.5%,1.7:1,74.9%,100,147,6,"9,870"
20112012,11120,Anderson County,Anderson County Early Childhood Center,281,10800,263.16,141,50.2%,140,49.8%,258,91.8%,4,1.4%,8,2.8%,3,1.1%,0,0.0%,0,0.0%,8,2.8%,213,32,94.1%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:1,24.00,2,0.0%,10.4,28.6%,52.4%,19.0%,0.0%,0.0%,100.0%,4.8%,2.6:1,13%,221,28,4,"1,643"
20112012,11020,Anderson County,Anderson County High School,1208,5831,"1,126.62",625,51.7%,583,48.3%,"1,116",92.4%,28,2.3%,18,1.5%,8,0.7%,3,0.2%,0,0.0%,35,2.9%,370,103,92.6%,2.6%,0.7%,84.7%,192,64.6%,182,61.3%,10,3.4%,4,1.3%,58,19.5%,27,9.1%,2,0.7%,14,4.7%,18:1,66.00,9,0.0%,12.5,11.1%,48.6%,40.3%,0.0%,0.0%,100.0%,0.0%,5.3:1,34.1%,361,1,1,0
20112012,11025,Anderson County,Anderson County Middle School,867,4939,829.13,426,49.1%,441,50.9%,804,92.7%,15,1.7%,14,1.6%,0,0.0%,0,0.0%,0,0.0%,34,3.9%,290,78,94.7%,0.1%,0.2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20:1,43.00,2,0.0%,9.9,17.0%,42.6%,40.4%,0.0%,0.0%,100.0%,0.0%,4.9:1,40.2%,325,74,2,812
20112012,11110,Anderson County,Emma B. Ward Elementary School,478,6438,461.08,260,54.4%,218,45.6%,431,90.2%,14,2.9%,15,3.1%,1,0.2%,0,0.0%,0,0.0%,17,3.6%,188,50,95.8%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,31.00,4,0.0%,9.6,20.0%,44.0%,36.0%,0.0%,0.0%,100.0%,0.0%,3.3:1,15.2%,313,50,10,"3,000"
20112012,11022,Anderson County,Robert B. Turner Elementary School,475,5551,452.41,241,50.7%,234,49.3%,434,91.4%,5,1.1%,13,2.7%,2,0.4%,1,0.2%,0,0.0%,20,4.2%,180,35,95.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:1,27.00,0,0.0%,9,25.0%,41.7%,33.3%,0.0%,0.0%,100.0%,0.0%,3.2:1,65.2%,375,32,5,"1,042"
20112012,11050,Anderson County,Saffell Street Elementary School,455,6236,435.68,229,50.3%,226,49.7%,396,87.0%,16,3.5%,15,3.3%,5,1.1%,0,0.0%,0,0.0%,23,5.1%,214,47,95.7%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:1,26.00,2,0.0%,13.5,20.0%,60.0%,20.0%,0.0%,0.0%,100.0%,0.0%,3.5:1,10.5%,420,226,22,"1,200"
20112012,11,Anderson County,---District---,3764,7770,"3,568.08","1,922",51.1%,"1,842",48.9%,"3,439",91.4%,82,2.2%,83,2.2%,19,0.5%,4,0.1%,0,0.0%,137,3.6%,"1,455",345,94.3%,1.2%,0.5%,84.7%,192,64.6%,182,61.3%,10,3.4%,4,1.3%,58,19.5%,27,9.1%,2,0.7%,14,4.7%,17:1,225.00,19,0.0%,11.1,17.8%,47.7%,34.6%,0.0%,0.0%,100.0%,0.5%,4:1,31.6%,"2,015",411,44,"7,697"
20112012,12011,Ashland Independent,Ashland Central School,13,,,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0:1,0%,,,,
20112012,12130,Ashland Independent,Charles Russell Elementary School,321,8126,311.44,145,45.2%,176,54.8%,298,92.8%,3,0.9%,10,3.1%,3,0.9%,0,0.0%,0,0.0%,7,2.2%,126,25,95.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,19.60,0,0.0%,15,11.5%,57.7%,30.8%,0.0%,0.0%,100.0%,0.0%,2.3:1,62.4%,250,17,8,"1,850"
20112012,12070,Ashland Independent,Crabbe Elementary School,383,7992,375.45,198,51.7%,185,48.3%,317,82.8%,35,9.1%,14,3.7%,2,0.5%,1,0.3%,0,0.0%,14,3.7%,317,17,94.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:1,21.70,0,0.0%,16,14.8%,48.1%,37.0%,0.0%,0.0%,100.0%,0.0%,2.8:1,80.3%,400,4,4,800
20112012,12050,Ashland Independent,George M. Verity Middle School,492,7942,469.33,223,45.3%,269,54.7%,440,89.4%,29,5.9%,2,0.4%,4,0.8%,1,0.2%,0,0.0%,16,3.3%,201,21,94.9%,0.4%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,32.68,1,0.0%,15.8,14.6%,48.8%,36.6%,0.0%,0.0%,100.0%,0.0%,2.6:1,83.8%,400,25,20,700
20112012,12080,Ashland Independent,Hager Elementary School,333,6446,315.89,181,54.4%,152,45.6%,303,91.0%,12,3.6%,6,1.8%,0,0.0%,0,0.0%,0,0.0%,12,3.6%,106,12,95.9%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:1,18.80,0,0.0%,16.4,8.0%,72.0%,16.0%,4.0%,0.0%,100.0%,0.0%,2.5:1,95.3%,325,43,6,"1,450"
20112012,12100,Ashland Independent,Oakview Elementary School,434,7471,414.08,244,56.2%,190,43.8%,403,92.9%,13,3.0%,6,1.4%,4,0.9%,0,0.0%,1,0.2%,7,1.6%,177,25,95.6%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,29.10,0,0.0%,15.9,12.5%,71.9%,15.6%,0.0%,0.0%,100.0%,0.0%,2.7:1,76.5%,428,22,10,"1,326"
20112012,12010,Ashland Independent,Paul G. Blazer High School,891,6983,848.42,454,51.0%,437,49.0%,810,90.9%,40,4.5%,12,1.3%,4,0.4%,3,0.3%,0,0.0%,22,2.5%,349,48,94.0%,2.3%,0.8%,82.6%,142,69.3%,130,63.4%,12,5.9%,16,7.8%,25,12.2%,4,2.0%,15,7.3%,3,1.5%,16:1,54.08,2,0.0%,14.2,15.9%,58.7%,23.8%,0.0%,1.6%,100.0%,3.1%,3:1,84.6%,463,26,2,"3,200"
20112012,12110,Ashland Independent,Poage Elementary School,232,8947,225.15,113,48.7%,119,51.3%,212,91.4%,4,1.7%,0,0.0%,1,0.4%,0,0.0%,0,0.0%,15,6.5%,121,11,94.4%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,14.35,0,0.0%,13.6,28.6%,38.1%,33.3%,0.0%,0.0%,100.0%,4.8%,1.9:1,95.8%,215,31,8,790
20112012,12,Ashland Independent,---District---,3099,7541,"2,970.69","1,569",50.6%,"1,530",49.4%,"2,794",90.2%,138,4.5%,50,1.6%,18,0.6%,5,0.2%,1,0.0%,93,3.0%,"1,397",159,94.7%,1.1%,0.8%,86.1%,149,69.0%,136,63.0%,13,6.0%,17,7.9%,27,12.5%,4,1.9%,16,7.4%,3,1.4%,15:1,206.00,3,0.0%,15,14.8%,56.6%,27.9%,0.4%,0.4%,100.0%,1.2%,2.5:1,82.4%,"2,481",168,58,"10,116"
20112012,13011,Augusta Independent,Augusta Independent School,292,7178,267.64,163,55.8%,129,44.2%,281,96.2%,9,3.1%,2,0.7%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,154,33,94.1%,0.0%,0.0%,100.0%,9,31.0%,8,27.6%,1,3.4%,2,6.9%,9,31.0%,4,13.8%,4,13.8%,1,3.4%,15:1,20.00,0,0.0%,5.6,35.0%,60.0%,5.0%,0.0%,0.0%,100.0%,4.5%,2.1:1,49.2%,264,0,0,342
20112012,13,Augusta Independent,---District---,292,7178,267.64,163,55.8%,129,44.2%,281,96.2%,9,3.1%,2,0.7%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,154,33,94.1%,0.0%,0.0%,100.0%,9,31.0%,8,27.6%,1,3.4%,2,6.9%,9,31.0%,4,13.8%,4,13.8%,1,3.4%,15:1,20.00,,0.0%,5.6,35.0%,60.0%,5.0%,0.0%,0.0%,100.0%,4.5%,2.1:1,49.2%,264,0,0,342
20112012,15050,Ballard County,Ballard County Elementary School,577,6391,554.31,312,54.1%,265,45.9%,529,91.7%,19,3.3%,4,0.7%,0,0.0%,1,0.2%,0,0.0%,24,4.2%,295,39,95.9%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,33.00,2,0.0%,12.9,19.4%,66.7%,13.9%,0.0%,0.0%,100.0%,0.0%,3.8:1,47.6%,531,5,3,"1,525"
20112012,15005,Ballard County,Ballard County Middle School,320,4757,313.88,167,52.2%,153,47.8%,292,91.3%,14,4.4%,3,0.9%,1,0.3%,0,0.0%,0,0.0%,10,3.1%,146,23,96.2%,0.6%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21:1,15.00,1,0.0%,7.8,50.0%,40.9%,9.1%,0.0%,0.0%,100.0%,9.1%,3:1,1%,252,39,3,150
20112012,15010,Ballard County,Ballard Memorial High School,416,7267,403.73,212,51.0%,204,49.0%,391,94.0%,15,3.6%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,10,2.4%,154,32,95.5%,0.5%,0.0%,88.3%,64,62.7%,62,60.8%,2,2.0%,5,4.9%,25,24.5%,4,3.9%,2,2.0%,2,2.0%,13:1,31.00,0,0.0%,10.4,25.8%,51.6%,22.6%,0.0%,0.0%,100.0%,5.7%,1.4:1,14.8%,130,81,2,325
20112012,15,Ballard County,---District---,1313,10553,"1,271.92",691,52.6%,622,47.4%,"1,212",92.3%,48,3.7%,7,0.5%,1,0.1%,1,0.1%,0,0.0%,44,3.4%,595,94,95.8%,0.4%,0.2%,88.3%,64,62.7%,62,60.8%,2,2.0%,5,4.9%,25,24.5%,4,3.9%,2,2.0%,2,2.0%,13:1,98.00,4,0.0%,10.8,28.0%,55.9%,16.1%,0.0%,0.0%,100.0%,4.1%,2.4:1,19.1%,913,125,8,"2,000"
20112012,16011,Barbourville Independent,Barbourville City School,665,4670,625.14,328,49.3%,337,50.7%,643,96.7%,10,1.5%,7,1.1%,0,0.0%,0,0.0%,0,0.0%,5,0.8%,373,59,92.8%,1.9%,0.6%,94.8%,30,65.2%,27,58.7%,3,6.5%,0,0.0%,13,28.3%,0,0.0%,1,2.2%,2,4.3%,22:1,29.80,0,0.0%,12.5,20.5%,25.0%,54.5%,0.0%,0.0%,100.0%,2.1%,5.1:1,100%,403,,,"1,868"
20112012,16,Barbourville Independent,---District---,665,8949,625.14,328,49.3%,337,50.7%,643,96.7%,10,1.5%,7,1.1%,0,0.0%,0,0.0%,0,0.0%,5,0.8%,373,59,92.8%,1.9%,0.6%,94.8%,30,65.2%,27,58.7%,3,6.5%,0,0.0%,13,28.3%,0,0.0%,1,2.2%,2,4.3%,18:1,37.00,,0.0%,12.5,20.5%,25.0%,54.5%,0.0%,0.0%,100.0%,2.1%,5.1:1,100%,403,,,"1,868"
20112012,17010,Bardstown Independent,Bardstown Elementary School,585,5761,561.04,305,52.1%,280,47.9%,421,72.0%,86,14.7%,35,6.0%,11,1.9%,0,0.0%,2,0.3%,30,5.1%,317,49,95.9%,0.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:1,33.00,0,0.0%,11.8,13.2%,55.3%,31.6%,0.0%,0.0%,100.0%,0.0%,8.8:1,53.1%,525,14,3,"1,440"
20112012,17020,Bardstown Independent,Bardstown High School,633,6484,596.2,318,50.2%,315,49.8%,456,72.0%,137,21.6%,23,3.6%,10,1.6%,0,0.0%,0,0.0%,7,1.1%,298,80,93.7%,3.0%,1.3%,81.3%,69,58.5%,64,54.2%,5,4.2%,1,0.8%,45,38.1%,0,0.0%,0,0.0%,3,2.5%,18:1,36.00,0,0.0%,9.8,19.5%,41.5%,39.0%,0.0%,0.0%,100.0%,0.0%,3.3:1,45%,600,28,3,60
20112012,17030,Bardstown Independent,Bardstown Middle School,533,5909,510.28,274,51.4%,259,48.6%,367,68.9%,115,21.6%,26,4.9%,4,0.8%,0,0.0%,1,0.2%,20,3.8%,319,53,95.0%,0.5%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,31.00,0,0.0%,11.5,8.9%,60.0%,31.1%,0.0%,0.0%,100.0%,0.0%,4.4:1,94.9%,380,15,3,220
20112012,17012,Bardstown Independent,Bardstown Primary School,697,6139,667.02,362,51.9%,335,48.1%,512,73.5%,87,12.5%,38,5.5%,14,2.0%,0,0.0%,1,0.1%,45,6.5%,378,66,94.6%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,41.00,0,0.0%,12.2,13.9%,38.9%,47.2%,0.0%,0.0%,100.0%,0.0%,20.2:1,36.4%,675,29,9,"4,500"
20112012,17,Bardstown Independent,---District---,2448,9461,"2,334.54","1,259",51.4%,"1,189",48.6%,"1,756",71.7%,425,17.4%,122,5.0%,39,1.6%,0,0.0%,4,0.2%,102,4.2%,"1,312",248,94.8%,1.5%,0.8%,81.3%,69,58.5%,64,54.2%,5,4.2%,1,0.8%,45,38.1%,0,0.0%,0,0.0%,3,2.5%,16:1,153.58,2,0.0%,11.4,14.2%,49.7%,36.1%,0.0%,0.0%,100.0%,0.0%,5.9:1,60.4%,"2,180",86,18,"6,220"
20112012,21010,Barren County,Austin Tracy Elementary School,235,9475,219.39,121,51.5%,114,48.5%,228,97.0%,1,0.4%,5,2.1%,0,0.0%,0,0.0%,0,0.0%,1,0.4%,148,25,96.2%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,16.00,1,2.0%,10.8,31.6%,42.1%,26.3%,0.0%,0.0%,100.0%,5.3%,1.6:1,62.4%,198,9,4,"17,980"
20112012,21011,Barren County,Barren County Day Treatment Ctr,75,,,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0:1,0%,,,,
20112012,21027,Barren County,Barren County High School,1278,7867,"1,243.01",637,49.8%,641,50.2%,"1,224",95.8%,17,1.3%,20,1.6%,5,0.4%,1,0.1%,0,0.0%,11,0.9%,555,101,94.5%,1.1%,1.1%,74.7%,143,51.3%,136,48.7%,7,2.5%,37,13.3%,24,8.6%,47,16.8%,12,4.3%,16,5.7%,17:1,73.31,3,0.0%,11.2,15.5%,44.0%,40.5%,0.0%,0.0%,100.0%,2.2%,2.3:1,56.6%,250,14,25,"22,944"
